7260,Material,2016-06-21 09:53:02,1215
7261,Material,2016-06-21 09:53:08,1216
7262,Material,2016-06-21 09:53:08,1217
7263,Material,2016-06-21 09:53:08,1218
7264,Location,2016-06-21 09:53:08,16
7265,Location,2016-06-21 09:53:08,17
7266,Position,2016-06-21 09:53:08,4
7267,ProductReference,2016-06-21 09:53:08,417
7268,ProductCategory,2016-06-21 09:53:08,50
7269,User,2016-06-21 09:53:09,25
7270,User,2016-06-21 09:53:09,26
7271,Material,2016-06-21 09:53:10,1219
7272,Material,2016-06-21 09:53:10,1220
7273,Material,2016-06-21 09:53:10,1221
7274,Material,2016-06-21 09:53:10,1222
7275,Location,2016-06-21 09:53:11,18
7276,Location,2016-06-21 09:53:11,19
7277,Position,2016-06-21 09:53:11,5
7278,ProductReference,2016-06-21 09:53:11,418
7279,ProductCategory,2016-06-21 09:53:11,51
7280,User,2016-06-21 09:53:11,27
7281,User,2016-06-21 09:53:11,28
7282,Material,2016-06-21 09:53:13,1223
7283,Material,2016-06-21 09:53:13,1224
7284,Material,2016-06-21 09:53:13,1225
7285,Material,2016-06-21 09:53:13,1226
7286,Location,2016-06-21 09:53:13,20
7287,Location,2016-06-21 09:53:13,21
7288,Position,2016-06-21 09:53:13,6
7289,ProductReference,2016-06-21 09:53:14,419
7290,ProductCategory,2016-06-21 09:53:14,52
7291,User,2016-06-21 09:53:14,29
7292,User,2016-06-21 09:53:14,30
7293,Material,2016-06-21 09:53:16,1227
7294,Material,2016-06-21 09:53:17,1228
7295,Material,2016-06-21 09:53:17,1229
7296,Material,2016-06-21 09:53:17,1230
7297,Location,2016-06-21 09:53:17,22
7298,Location,2016-06-21 09:53:18,23
7299,Position,2016-06-21 09:53:18,7
7300,ProductReference,2016-06-21 09:53:18,420
7301,ProductCategory,2016-06-21 09:53:18,53
7302,User,2016-06-21 09:53:18,31
7303,User,2016-06-21 09:53:18,32
7304,Material,2016-06-21 09:54:10,1231
7305,Material,2016-06-21 09:54:11,1232
7306,Material,2016-06-21 09:54:11,1233
7307,Material,2016-06-21 09:54:11,1234
7308,Location,2016-06-21 09:54:11,24
7309,Location,2016-06-21 09:54:11,25
7310,Position,2016-06-21 09:54:11,8
7311,ProductReference,2016-06-21 09:54:11,421
7312,ProductCategory,2016-06-21 09:54:11,54
7313,User,2016-06-21 09:54:11,33
7314,User,2016-06-21 09:54:11,34
